,Time,Receiving team,Score,Guest team,Week,Date
183,21:34,Fath Union Sport de Rabat,2 : 1,Olympique Club de Safi,Week # 23,Sunday 27 June 2021
184,19:18,Difaa Hassani El Jadidi,2 : 2,Mouloudia Oujda,Week # 24,Tuesday 29 June 2021
185,21:33,Maghreb de Fes,2 : 1,Rapide Oued Zem,Week # 24,Tuesday 29 June 2021
186,17:04,Hassania Union Sport Agadir,0 : 0,Fath Union Sport de Rabat,Week # 24,Wednesday 30 June 2021
187,19:16,Wydad Athletic Club,4 : 2,Moghreb Tetouan,Week # 24,Wednesday 30 June 2021
188,21:30,Youssoufia Berrechid,1 : 0,Raja Club Athletic,Week # 24,Wednesday 30 June 2021
189,17:01,FAR Rabat,3 : 1,Renaissance de Berkane,Week # 24,Thursday 1 July 2021
190,19:19,Ittihad Tanger,0 : 1,Chabab Mohammedia,Week # 24,Thursday 1 July 2021
191,21:33,Olympique Club de Safi,2 : 2,Renaissance Zemamra,Week # 24,Thursday 1 July 2021
192,17:03,Fath Union Sport de Rabat,0 : 1,Maghreb de Fes,Week # 25,Saturday 3 July 2021
193,19:16,Mouloudia Oujda,3 : 1,Youssoufia Berrechid,Week # 25,Saturday 3 July 2021
194,19:18,Rapide Oued Zem,0 : 1,Hassania Union Sport Agadir,Week # 25,Saturday 3 July 2021
195,21:31,Raja Club Athletic,1 : 2,Wydad Athletic Club,Week # 25,Saturday 3 July 2021
196,17:00,FAR Rabat,2 : 1,Ittihad Tanger,Week # 25,Sunday 4 July 2021
197,17:02,Renaissance Zemamra,3 : 0,Moghreb Tetouan,Week # 25,Sunday 4 July 2021
198,19:16,Chabab Mohammedia,2 : 0,Difaa Hassani El Jadidi,Week # 25,Sunday 4 July 2021
199,21:32,Renaissance de Berkane,3 : 0,Olympique Club de Safi,Week # 25,Sunday 4 July 2021
200,17:03,Hassania Union Sport Agadir,0 : 0,Raja Club Athletic,Week # 26,Tuesday 6 July 2021
201,19:20,Maghreb de Fes,2 : 1,Mouloudia Oujda,Week # 26,Tuesday 6 July 2021
202,17:01,Youssoufia Berrechid,1 : 1,Renaissance Zemamra,Week # 26,Wednesday 7 July 2021
203,19:15,Olympique Club de Safi,1 : 1,Chabab Mohammedia,Week # 26,Wednesday 7 July 2021
204,21:32,Wydad Athletic Club,2 : 0,Rapide Oued Zem,Week # 26,Wednesday 7 July 2021
205,17:02,Moghreb Tetouan,2 : 2,Fath Union Sport de Rabat,Week # 26,Thursday 8 July 2021
206,19:16,Difaa Hassani El Jadidi,1 : 0,FAR Rabat,Week # 26,Thursday 8 July 2021
207,21:33,Ittihad Tanger,0 : 2,Renaissance de Berkane,Week # 26,Thursday 8 July 2021
208,17:03,FAR Rabat,3 : 2,Youssoufia Berrechid,Week # 27,Tuesday 13 July 2021
209,17:01,Renaissance Zemamra,1 : 0,Fath Union Sport de Rabat,Week # 27,Tuesday 13 July 2021
210,19:16,Renaissance de Berkane,1 : 0,Hassania Union Sport Agadir,Week # 27,Tuesday 13 July 2021
211,21:33,Rapide Oued Zem,2 : 1,Olympique Club de Safi,Week # 27,Tuesday 13 July 2021
212,17:02,Raja Club Athletic,4 : 1,Moghreb Tetouan,Week # 27,Wednesday 14 July 2021
213,19:18,Ittihad Tanger,0 : 1,Difaa Hassani El Jadidi,Week # 27,Wednesday 14 July 2021
214,21:30,Chabab Mohammedia,1 : 1,Maghreb de Fes,Week # 27,Wednesday 14 July 2021
215,21:32,Mouloudia Oujda,0 : 2,Wydad Athletic Club,Week # 27,Wednesday 14 July 2021
216,17:01,Olympique Club de Safi,2 : 2,Raja Club Athletic,Week # 28,Saturday 17 July 2021
217,19:18,Hassania Union Sport Agadir,0 : 1,FAR Rabat,Week # 28,Saturday 17 July 2021
218,21:33,Moghreb Tetouan,0 : 1,Mouloudia Oujda,Week # 28,Saturday 17 July 2021
219,17:02,Wydad Athletic Club,2 : 4,Ittihad Tanger,Week # 28,Sunday 18 July 2021
220,19:31,Maghreb de Fes,2 : 2,Renaissance Zemamra,Week # 28,Sunday 18 July 2021
221,19:32,Difaa Hassani El Jadidi,3 : 1,Renaissance de Berkane,Week # 28,Sunday 18 July 2021
222,19:31,Youssoufia Berrechid,0 : 1,Chabab Mohammedia,Week # 28,Sunday 18 July 2021
223,19:30,Fath Union Sport de Rabat,0 : 0,Rapide Oued Zem,Week # 28,Sunday 18 July 2021
224,19:31,Raja Club Athletic,1 : 0,Renaissance Zemamra,Week # 29,Friday 23 July 2021
225,19:31,Difaa Hassani El Jadidi,2 : 3,Youssoufia Berrechid,Week # 29,Friday 23 July 2021
226,19:31,Renaissance de Berkane,3 : 2,Fath Union Sport de Rabat,Week # 29,Friday 23 July 2021
227,19:33,Rapide Oued Zem,2 : 1,Moghreb Tetouan,Week # 29,Friday 23 July 2021
228,17:01,FAR Rabat,0 : 0,Olympique Club de Safi,Week # 29,Saturday 24 July 2021
229,19:16,Chabab Mohammedia,1 : 1,Wydad Athletic Club,Week # 29,Saturday 24 July 2021
230,21:32,Ittihad Tanger,0 : 0,Maghreb de Fes,Week # 29,Saturday 24 July 2021
231,21:31,Mouloudia Oujda,1 : 0,Hassania Union Sport Agadir,Week # 29,Saturday 24 July 2021
232,19:31,Moghreb Tetouan,2 : 3,Renaissance de Berkane,Week # 30,Tuesday 27 July 2021
233,19:31,Youssoufia Berrechid,1 : 0,Ittihad Tanger,Week # 30,Tuesday 27 July 2021
234,19:31,Fath Union Sport de Rabat,2 : 0,Chabab Mohammedia,Week # 30,Tuesday 27 July 2021
235,19:31,Renaissance Zemamra,1 : 1,Rapide Oued Zem,Week # 30,Tuesday 27 July 2021
236,19:00,Wydad Athletic Club,2 : 0,FAR Rabat,Week # 30,Wednesday 28 July 2021
237,18:59,Maghreb de Fes,2 : 3,Raja Club Athletic,Week # 30,Wednesday 28 July 2021
238,21:30,Hassania Union Sport Agadir,2 : 0,Difaa Hassani El Jadidi,Week # 30,Wednesday 28 July 2021
239,21:30,Olympique Club de Safi,0 : 0,Mouloudia Oujda,Week # 30,Wednesday 28 July 2021
